scenario_id,scenario_name,category,people,expense_id,expense_description,paid_by,amount,currency,split_type,split_among,split_values,expected_net_balances,expected_simplified_settlements,notes
S10,Subset of group,partial-group,"Alice,Bob,Carol,Dave",E01,Movie tickets not Dave,Bob,36.00,USD,equal,"Alice,Bob,Carol","12,12,12","Alice:-12.00; Bob:+24.00; Carol:-12.00; Dave:0.00","Alice pays Bob 12.00; Carol pays Bob 12.00",Dave excluded from expense
S11,One person not involved then involved,partial-group,"Alice,Bob,Carol",E01,Coffee Alice and Bob,Alice,8.00,USD,equal,"Alice,Bob","4,4",,,
S11,One person not involved then involved,partial-group,"Alice,Bob,Carol",E02,Lunch all three,Carol,45.00,USD,equal,"Alice,Bob,Carol","15,15,15","Alice:-11.00; Bob:-19.00; Carol:+30.00","Alice pays Carol 11.00; Bob pays Carol 19.00","Alice 8-4-15=-11; Bob 0-4-15=-19; Carol 45-15=+30"
S12,Already settled partially,partial-settle,"Alice,Bob",E01,Concert tickets,Alice,120.00,USD,equal,"Alice,Bob","60,60",,,Original debt Bob owes 60
S12,Already settled partially,partial-settle,"Alice,Bob",S01,Bob repaid part,Bob,25.00,USD,settlement,"Alice","25.00","Alice:+35.00; Bob:-35.00","Bob pays Alice 35.00",Settlement payment reduces remaining
S13,Multiple settlements leftover,partial-settle,"Alice,Bob,Carol",E01,Shared gift,Alice,90.00,USD,equal,"Alice,Bob,Carol","30,30,30",,,
S13,Multiple settlements leftover,partial-settle,"Alice,Bob,Carol",S01,Bob paid Alice,Bob,30.00,USD,settlement,"Alice","30.00",,,Bob fully settled
S13,Multiple settlements leftover,partial-settle,"Alice,Bob,Carol",S02,Carol paid Alice partial,Carol,10.00,USD,settlement,"Alice","10.00","Alice:+20.00; Bob:0.00; Carol:-20.00","Carol pays Alice 20.00",Only Carol remains
S14,Rounding pennies three ways,rounding,"Alice,Bob,Carol",E01,Coffee 10 dollars,Alice,10.00,USD,equal,"Alice,Bob,Carol","3.34,3.33,3.33","Alice:+6.66; Bob:-3.33; Carol:-3.33","Bob pays Alice 3.33; Carol pays Alice 3.33",Remainder penny assigned to payer Alice so shares 3.34/3.33/3.33
S15,Rounding four people,rounding,"Alice,Bob,Carol,Dave",E01,Snacks 5.00,Bob,5.00,USD,equal,"Alice,Bob,Carol,Dave","1.25,1.25,1.25,1.25","Alice:-1.25; Bob:+3.75; Carol:-1.25; Dave:-1.25","Alice pays Bob 1.25; Carol pays Bob 1.25; Dave pays Bob 1.25",Even split no remainder
S16,Odd cent five people,rounding,"A,B,C,D,E",E01,Toll 1.00,A,1.00,USD,equal,"A,B,C,D,E","0.20,0.20,0.20,0.20,0.20","A:+0.80; B:-0.20; C:-0.20; D:-0.20; E:-0.20","B pays A 0.20; C pays A 0.20; D pays A 0.20; E pays A 0.20",Even cents
S17,Roommate month mixed,roommates,"Alex,Bailey,Casey",E01,Rent,Alex,1800.00,USD,equal,"Alex,Bailey,Casey","600,600,600",,,
S17,Roommate month mixed,roommates,"Alex,Bailey,Casey",E02,Internet,Bailey,90.00,USD,equal,"Alex,Bailey,Casey","30,30,30",,,
S17,Roommate month mixed,roommates,"Alex,Bailey,Casey",E03,Alex groceries mostly,Alex,120.00,USD,exact,"Alex,Bailey,Casey","80.00,25.00,15.00",,,
S17,Roommate month mixed,roommates,"Alex,Bailey,Casey",E04,Casey paid cleaning,Casey,75.00,USD,equal,"Alex,Bailey,Casey","25,25,25","Alex:+1265.00; Bailey:-565.00; Casey:-700.00","Bailey pays Alex 565.00; Casey pays Alex 700.00","Alex: 1800+120 -600-30-80-25 = +1185 wait recalc: paid 1920; owes 600+30+80+25=735; net +1185. Recalc carefully: Alex paid 1800+120=1920. Alex share: rent 600, internet 30, groc 80, clean 25 = 735. Net +1185. Bailey paid 90. Share: 600+30+25+25=680. Net 90-680=-590. Casey paid 75. Share: 600+30+15+25=670. Net 75-670=-595. CORRECT: Alex:+1185; Bailey:-590; Casey:-595. Settlements: Bailey pays Alex 590; Casey pays Alex 595"
S17,Roommate month mixed,roommates,"Alex,Bailey,Casey",E01,Rent,Alex,1800.00,USD,equal,"Alex,Bailey,Casey","600,600,600",,,See corrected nets in next row note - DO NOT USE THIS DUPLICATE
S18,Roommate month mixed CORRECT,roommates,"Alex,Bailey,Casey",E01,Rent,Alex,1800.00,USD,equal,"Alex,Bailey,Casey","600,600,600",,,
S18,Roommate month mixed CORRECT,roommates,"Alex,Bailey,Casey",E02,Internet,Bailey,90.00,USD,equal,"Alex,Bailey,Casey","30,30,30",,,
S18,Roommate month mixed CORRECT,roommates,"Alex,Bailey,Casey",E03,Groceries,Alex,120.00,USD,exact,"Alex,Bailey,Casey","80.00,25.00,15.00",,,
S18,Roommate month mixed CORRECT,roommates,"Alex,Bailey,Casey",E04,Cleaning,Casey,75.00,USD,equal,"Alex,Bailey,Casey","25,25,25","Alex:+1185.00; Bailey:-590.00; Casey:-595.00","Bailey pays Alex 590.00; Casey pays Alex 595.00",Use this not S17
S19,Zero amount ignored,edge,"Alice,Bob",E01,Placeholder,Alice,0.00,USD,equal,"Alice,Bob","0,0","Alice:0.00; Bob:0.00",none,Zero expense no balances
S20,Single person expense,edge,"Alice,Bob,Carol",E01,Alice personal item recorded,Alice,25.00,USD,exact,"Alice","25.00","Alice:0.00; Bob:0.00; Carol:0.00",none,Payer is only participant
S21,Someone paid who is not in split,edge,"Alice,Bob,Carol",E01,Alice paid Bob and Carol lunch,Alice,40.00,USD,equal,"Bob,Carol","20,20","Alice:+40.00; Bob:-20.00; Carol:-20.00","Bob pays Alice 20.00; Carol pays Alice 20.00",Payer not in split_among
S22,All payers mixed netting,simplification,"Maya,Noah,Omar,Priya",E01,Maya dinner,Maya,80.00,USD,equal,"Maya,Noah,Omar,Priya","20,20,20,20",,,
S22,All payers mixed netting,simplification,"Maya,Noah,Omar,Priya",E02,Noah drinks,Noah,40.00,USD,equal,"Maya,Noah,Omar,Priya","10,10,10,10",,,
S22,All payers mixed netting,simplification,"Maya,Noah,Omar,Priya",E03,Omar museum,Omar,60.00,USD,equal,"Maya,Noah,Omar,Priya","15,15,15,15",,,
S22,All payers mixed netting,simplification,"Maya,Noah,Omar,Priya",E04,Priya uber,Priya,20.00,USD,equal,"Maya,Noah,Omar,Priya","5,5,5,5","Maya:+30.00; Noah:-10.00; Omar:+10.00; Priya:-30.00","Priya pays Maya 30.00; Noah pays Omar 10.00","Maya 80-20-10-15-5=+30; Noah 40-20-10-15-5=-10; Omar 60-20-10-15-5=+10; Priya 20-20-10-15-5=-30"
S23,Group trip national park,travel,"Varun,Sam,Lee,Kim",E01,Park lodge 2 nights,Varun,480.00,USD,equal,"Varun,Sam,Lee,Kim","120,120,120,120",,,
S23,Group trip national park,travel,"Varun,Sam,Lee,Kim",E02,Gas,Sam,96.00,USD,equal,"Varun,Sam,Lee,Kim","24,24,24,24",,,
S23,Group trip national park,travel,"Varun,Sam,Lee,Kim",E03,Groceries camp,Lee,84.00,USD,exact,"Varun,Sam,Lee,Kim","21,21,21,21",,,
S23,Group trip national park,travel,"Varun,Sam,Lee,Kim",E04,Kim paid entry fees,Kim,140.00,USD,exact,"Varun,Sam,Lee,Kim","35,35,35,35","Varun:+280.00; Sam:-104.00; Lee:-116.00; Kim:-60.00","Sam pays Varun 104.00; Lee pays Varun 116.00; Kim pays Varun 60.00","Varun 480-120-24-21-35=+280; Sam 96-120-24-21-35=-104; Lee 84-120-24-21-35=-116; Kim 140-120-24-21-35=-60"
S24,Reimbursement then reverse,edge,"Alice,Bob",E01,Alice paid Bob share,Alice,50.00,USD,exact,"Bob","50.00",,,
S24,Reimbursement then reverse,edge,"Alice,Bob",E02,Correction Bob paid Alice back extra recorded as expense,Bob,50.00,USD,exact,"Alice","50.00","Alice:0.00; Bob:0.00",none,Offsetting exact reimbursements
S25,Percent with remainder,rounding,"Alice,Bob,Carol",E01,Dinner 100.00,Alice,100.00,USD,percent,"Alice,Bob,Carol","33.33,33.33,33.34","Alice:+66.67; Bob:-33.33; Carol:-33.34","Bob pays Alice 33.33; Carol pays Alice 33.34",Percents sum to 100 with cent fix on Carol
S26,Shares 2:1 couple plus friend,unequal,"Pat,Quinn,Riley",E01,Cabin,Pat,300.00,USD,shares,"Pat,Quinn,Riley","2,2,1","Pat:+180.00; Quinn:-120.00; Riley:-60.00","Quinn pays Pat 120.00; Riley pays Pat 60.00",5 shares of 60
S27,Many small debts greedy,simplification,"A,B,C,D,E",E01,A paid,A,50.00,USD,equal,"A,B,C,D,E","10,10,10,10,10",,,
S27,Many small debts greedy,simplification,"A,B,C,D,E",E02,B paid,B,20.00,USD,equal,"A,B,C,D,E","4,4,4,4,4",,,
S27,Many small debts greedy,simplification,"A,B,C,D,E",E03,C paid,C,10.00,USD,equal,"A,B,C,D,E","2,2,2,2,2","A:+34.00; B:+4.00; C:-6.00; D:-16.00; E:-16.00","D pays A 16.00; E pays A 16.00; C pays A 2.00; C pays B 4.00","A 50-10-4-2=+34; B 20-10-4-2=+4; C 10-10-4-2=-6; D 0-10-4-2=-16; E 0-10-4-2=-16. One valid min-cash-flow: D->A 16, E->A 16, C->A 2, C->B 4 (4 payments). Better: D->A 16, E->A 16, C->B 4, C->A 2 same count. Optimal 3: D->A 16, E->A 18 then A->B 4 and C still... C -6 cannot merge to 3 unless D->A 16, E->A 16, C->B 4 and C->A 2. Min transactions for this net is 4 unless we allow A receive from D and E only and B collect from C while A also from C."
S28,Currency EUR weekend,travel,"Alice,Bob,Carol",E01,Paris dinner,Alice,90.00,EUR,equal,"Alice,Bob,Carol","30,30,30",,,
S28,Currency EUR weekend,travel,"Alice,Bob,Carol",E02,Museum,Bob,45.00,EUR,equal,"Alice,Bob,Carol","15,15,15","Alice:+45.00; Bob:+15.00; Carol:-60.00","Carol pays Alice 45.00; Carol pays Bob 15.00",Keep currency on settlements
S29,Negative correction,edge,"Alice,Bob",E01,Overcharged dinner,Alice,80.00,USD,equal,"Alice,Bob","40,40",,,
S29,Negative correction,edge,"Alice,Bob",E02,Refund adjustment,Alice,-20.00,USD,equal,"Alice,Bob","-10,-10","Alice:+30.00; Bob:-30.00","Bob pays Alice 30.00",Negative expense reduces both shares
S30,Large group equal,simple,"P1,P2,P3,P4,P5,P6,P7,P8",E01,Team offsite lunch,P1,240.00,USD,equal,"P1,P2,P3,P4,P5,P6,P7,P8","30,30,30,30,30,30,30,30","P1:+210.00; P2:-30.00; P3:-30.00; P4:-30.00; P5:-30.00; P6:-30.00; P7:-30.00; P8:-30.00","P2 pays P1 30.00; P3 pays P1 30.00; P4 pays P1 30.00; P5 pays P1 30.00; P6 pays P1 30.00; P7 pays P1 30.00; P8 pays P1 30.00",8-person equal
S31,Two groups overlapping,simplification,"Alice,Bob,Carol,Dave",E01,Alice Bob only,Alice,40.00,USD,equal,"Alice,Bob","20,20",,,
S31,Two groups overlapping,simplification,"Alice,Bob,Carol,Dave",E02,Carol Dave only,Carol,40.00,USD,equal,"Carol,Dave","20,20",,,
S31,Two groups overlapping,simplification,"Alice,Bob,Carol,Dave",E03,All four,Dave,80.00,USD,equal,"Alice,Bob,Carol,Dave","20,20,20,20","Alice:0.00; Bob:-40.00; Carol:0.00; Dave:+40.00","Bob pays Dave 40.00","Alice 40-20-20=0; Bob 0-20-20=-40; Carol 40-20-20=0; Dave 80-20-20=+40"
S32,Settle up suggested vs pairwise,simplification,"Ana,Ben,Cio",E01,Ana paid,Ana,90.00,USD,equal,"Ana,Ben,Cio","30,30,30",,,
S32,Settle up suggested vs pairwise,simplification,"Ana,Ben,Cio",E02,Ben paid,Ben,30.00,USD,exact,"Cio","30.00","Ana:+60.00; Ben:0.00; Cio:-60.00","Cio pays Ana 60.00","Pairwise would be Ben owes Ana 30 and Cio owes Ana 30 and Cio owes Ben 30 which nets Cio->Ana 60"
S33,Weighted drinks,unequal,"Alice,Bob,Carol",E01,Bar tab,Bob,75.00,USD,shares,"Alice,Bob,Carol","1,3,1","Alice:-15.00; Bob:+45.00; Carol:-15.00","Alice pays Bob 15.00; Carol pays Bob 15.00",5 shares of 15
S34,Only settlements no expenses,edge,"Alice,Bob",S01,Opening balance IOU,Bob,15.00,USD,settlement,"Alice","15.00","Alice:-15.00; Bob:+15.00","Alice pays Bob 15.00",Treat recorded settlement as transfer
S35,Multi expense then full settle,partial-settle,"Alice,Bob,Carol",E01,Taxi,Alice,30.00,USD,equal,"Alice,Bob,Carol","10,10,10",,,
S35,Multi expense then full settle,partial-settle,"Alice,Bob,Carol",E02,Tickets,Bob,60.00,USD,equal,"Alice,Bob,Carol","20,20,20",,,
S35,Multi expense then full settle,partial-settle,"Alice,Bob,Carol",S01,Carol settles Alice,Carol,10.00,USD,settlement,"Alice","10.00",,,
S35,Multi expense then full settle,partial-settle,"Alice,Bob,Carol",S02,Carol settles Bob,Carol,20.00,USD,settlement,"Bob","20.00",,,
S35,Multi expense then full settle,partial-settle,"Alice,Bob,Carol",S03,Alice settles Bob,Alice,10.00,USD,settlement,"Bob","10.00","Alice:0.00; Bob:0.00; Carol:0.00",none,"Pre-settle nets: Alice 30-10-20=0; Bob 60-10-20=+30; Carol 0-10-20=-30 then settlements zero all"
